line_id,from_station,to_station,travel_time,dwell_time,vehicle_id
GT01Ae,Hamilton,Aldershot,15,1,GoTrn2D10
GT01Ae,Aldershot,Burlington,5,1,GoTrn2D10
GT01Ae,Burlington,Oakville,10,1,GoTrn2D10
GT01Ae,Oakville,Union,21,1,GoTrn2D10
GT01Bw,Union,Oakville,20,1,GoTrn2D10
GT01Bw,Oakville,Burlington,9,1,GoTrn2D10
GT01Bw,Burlington,Aldershot,5,1,GoTrn2D10
GT01Bw,Aldershot,Hamilton,12,1,GoTrn2D10
GT01Ce,Burlington,Appleby,4,1,GoTrn2E10
GT01Ce,Appleby,Bronte,4,1,GoTrn2E10
GT01Ce,Bronte,Oakville,4,1,GoTrn2E10
GT01Ce,Oakville,Clarkson,4,1,GoTrn2E10
GT01Ce,Clarkson,Port Credit,4,1,GoTrn2E10
GT01Ce,Port Credit,Long Branch,4,1,GoTrn2E10
GT01Ce,Long Branch,Mimico,3,1,GoTrn2E10
GT01Ce,Mimico,Park Lawn,2,1,GoTrn2E10
GT01Ce,Park Lawn,Exhibition,4,1,GoTrn2E10
GT01Ce,Exhibition,Union,4,1,GoTrn2E10
GT01Dw,Union,Exhibition,4,1,GoTrn2E10
GT01Dw,Exhibition,Park Lawn,4,1,GoTrn2E10
GT01Dw,Park Lawn,Mimico,2,1,GoTrn2E10
GT01Dw,Mimico,Long Branch,4,1,GoTrn2E10
GT01Dw,Long Branch,Port Credit,3,1,GoTrn2E10
GT01Dw,Port Credit,Clarkson,4,1,GoTrn2E10
GT01Dw,Clarkson,Oakville,5,1,GoTrn2E10
GT01Dw,Oakville,Bronte,4,1,GoTrn2E10
GT01Dw,Bronte,Appleby,3,1,GoTrn2E10
GT01Dw,Appleby,Burlington,4,1,GoTrn2E10
GT01Ee,Aldershot,Burlington,5,1,GoTrn2D10
GT01Ee,Burlington,Bronte,6,1,GoTrn2D10
GT01Ee,Bronte,Oakville,4,1,GoTrn2D10
GT01Ee,Oakville,Clarkson,6,1,GoTrn2D10
GT01Ee,Clarkson,Exhibition,12,1,GoTrn2D10
GT01Ee,Exhibition,Union,3,1,GoTrn2D10
GT01Fw,Union,Exhibition,4,1,GoTrn2D10
GT01Fw,Exhibition,Clarkson,12,1,GoTrn2D10
GT01Fw,Clarkson,Oakville,5,1,GoTrn2D10
GT01Fw,Oakville,Bronte,5,1,GoTrn2D10
GT01Fw,Bronte,Burlington,6,1,GoTrn2D10
GT01Fw,Burlington,Aldershot,5,1,GoTrn2D10
GT01Ge,Aldershot,Burlington,6,1,GoTrn2D10
GT01Ge,Burlington,Oakville,9,1,GoTrn2D10
GT01Ge,Oakville,Exhibition,16,1,GoTrn2D10
GT01Ge,Exhibition,Union,3,1,GoTrn2D10
GT01Hw,Union,Exhibition,4,1,GoTrn2D10
GT01Hw,Exhibition,Oakville,15,1,GoTrn2D10
GT01Hw,Oakville,Burlington,9,1,GoTrn2D10
GT01Hw,Burlington,Aldershot,5,1,GoTrn2D10
GT01Ie,Bronte,Oakville,4,1,GoTrn2E10
GT01Ie,Oakville,Clarkson,4,1,GoTrn2E10
GT01Ie,Clarkson,Port Credit,4,1,GoTrn2E10
GT01Ie,Port Credit,Long Branch,4,1,GoTrn2E10
