Station Name,node
Acton Station,98204
Agincourt Station,98055
Ajax Station,98013
Aldershot Station,98039
Allandale Waterfront Station,98005
Appleby Station,98037
Aurora Station,98074
Barrie South Station,98161
Beamsville Station,90171
Bloomington Station,98167
Bloor Station,98112
Bloor-Lansdowne Station,98028
Bowmanville Station,98199
Bradford Station,98079
Bramalea Station,98121
Brampton Station,98122
Breslau Station,98023
Bronte Station,98036
Burlington Station,98038
Caledonia Station,98024
Centennial Station,98156
Clarkson Station,98034
Confederation Station,98203
Cooksville Station,98089
Courtice Station,98197
Danforth Station,98004
Dixie Station,98090
Downsview Park Station,98200
East Gwillimbury Station,98078
East Harbour Station,98075
Eglinton Station,98007
Erindale Station,98086
Exhibition Station,98027
Finch East Station,98029
GO Grimsby Station,98206
Georgetown Station,98123
Gormley Station,98202
Guelph Station,98003
Guildwood Station,98008
Hamilton GO Centre Station,98044
Innisfil Station,98043
Kennedy Station,98054
King City Station,98070
King-Liberty Station,98207
Kipling Station,98091
Kirby Station,98045
Kitchener Station,98174
Langstaff Station,98109
Lincolnville Station,98165
Lisgar Station,98082
Long Branch Station,98032
Malton Station,98120
Maple Station,98068
Markham Station,98059
Meadowvale Station,98083
Milliken Station,98056
Milton Station,98081
Mimico Station,98031
Mt. Dennis Station,98051
Mt. Joy Station,98157
Mt. Pleasant Station,98158
Newmarket Station,98077
Niagara Falls Station,98406
Oakville Station,98035
Old Cummer Station,98105
Oriole Station,98102
Oshawa Station,98017
Park Lawn Station,98061
Pearson Station,98126
Pickering Station,98011
Port Credit Station,98033
Richmond Hill Station,98111
Ritson Station,98194
Rouge Hill Station,98010
Rutherford Station,98067
Scarborough Station,98006
Spadina Station,98208
St. Catharines Station,98404
St. Clair West Station,98210
Stouffville Station,98060
Streetsville Station,98084
Thornton's Corners,98205
Trafalgar Station,98088
Unionville Station,98058
West Harbour Station,98042
Weston Station,98114
Whitby Station,98015
Woodbine Station,98066
