emme_id,emme_description,vehicle_num,vehicle_descr,union_node,AM_hdw,EV_hdw,MD_hdw,PM_hdw
GT01Ae,Lakeshore West A E,29,E2L12,98012,105.0,0.0,0.0,0.0
GT01Be,Lakeshore West B E,29,E2L12,98012,35.0,0.0,0.0,0.0
GT01Ce,Lakeshore West C E,28,E1L6,98012,0.0,15.0,15.714285714285714,30.0
GT01De,Lakeshore West D E,29,E2L12,98012,26.25,0.0,0.0,30.0
GT01Ee,Lakeshore West E E,30,D1L6,98012,105.0,0.0,0.0,0.0
GT01Fe,Lakeshore West F E,31,D2L12,98012,105.0,0.0,0.0,0.0
GT01Ge,Lakeshore West G E,30,D1L6,98012,0.0,60.0,66.0,60.0
GT01He,Lakeshore West H E,30,D1L6,98012,105.0,60.0,66.0,60.0
GT01Ie,Lakeshore West I E,31,D2L12,98012,35.0,0.0,0.0,0.0
GT01Je,Lakeshore West J E,30,D1L6,98012,210.0,0.0,330.0,0.0
GT01Ke,Lakeshore West K E,31,D2L12,98012,210.0,0.0,0.0,0.0
GT01Le,Lakeshore West L E,30,D1L6,98012,210.0,0.0,0.0,0.0
GT01Aw,Lakeshore West A W,28,E1L6,98012,0.0,15.0,16.5,30.0
GT01Bw,Lakeshore West B W,29,E2L12,98012,15.0,0.0,165.0,30.0
GT01Cw,Lakeshore West C W,28,E1L6,98012,0.0,0.0,0.0,60.0
GT01Dw,Lakeshore West D W,30,D1L6,98012,0.0,0.0,0.0,120.0
GT01Ew,Lakeshore West E W,31,D2L12,98012,0.0,0.0,0.0,120.0
GT01Fw,Lakeshore West F W,30,D1L6,98012,70.0,100.0,66.0,120.0
GT01Gw,Lakeshore West G W,31,D2L12,98012,0.0,0.0,0.0,240.0
GT01Hw,Lakeshore West H W,30,D1L6,98012,70.0,75.0,66.0,240.0
GT01Iw,Lakeshore West I W,31,D2L12,98012,0.0,0.0,0.0,60.0
GT01Jw,Lakeshore West J W,30,D1L6,98012,210.0,100.0,330.0,0.0
GT01Kw,Lakeshore West K W,31,D2L12,98012,0.0,0.0,0.0,240.0
GT01Lw,Lakeshore West L W,30,D1L6,98012,0.0,0.0,0.0,120.0
GT01Mw,Lakeshore West M W,30,D1L6,98012,0.0,0.0,0.0,240.0
GT02Ae,Milton A E,31,D2L12,98014,19.09090909090909,0.0,0.0,0.0
GT02Be,Milton B E,30,D1L6,98014,105.0,75.0,55.0,0.0
GT02Aw,Milton A W,30,D1L6,98014,0.0,60.0,55.0,0.0
GT02Bw,Milton B W,31,D2L12,98014,0.0,0.0,0.0,21.818181818181817
GT03Ae,Kitchener A E,32,EMU4,98016,15.0,15.0,15.0,15.0
GT03Be,Kitchener B E,32,EMU4,98016,30.0,30.0,30.0,30.0
GT03Ce,Kitchener C E,30,D1L6,98016,70.0,0.0,0.0,0.0
GT03De,Kitchener D E,30,D1L6,98016,210.0,60.0,66.0,60.0
GT03Ee,Kitchener E E,31,D2L12,98016,52.5,0.0,0.0,0.0
GT03Fe,Kitchener F E,30,D1L6,98016,210.0,30.0,30.0,30.0
GT03Ge,Kitchener G E,30,D1L6,98016,70.0,0.0,330.0,0.0
GT03He,Kitchener H E,31,D2L12,98016,52.5,60.0,66.0,60.0
GT03Aw,Kitchener A W,32,EMU4,98016,15.0,15.0,15.0,15.0
GT03Bw,Kitchener B W,32,EMU4,98016,30.0,30.0,30.0,30.0
GT03Cw,Kitchener C W,30,D1L6,98016,35.0,30.0,30.0,0.0
GT03Dw,Kitchener D W,30,D1L6,98016,210.0,0.0,66.0,40.0
GT03Ew,Kitchener E W,31,D2L12,98016,70.0,60.0,0.0,60.0
GT03Fw,Kitchener F W,30,D1L6,98016,0.0,0.0,55.0,60.0
GT03Gw,Kitchener G W,31,D2L12,98016,70.0,60.0,0.0,60.0
GT05As,Barries A S,28,E1L6,98018,210.0,30.0,30.0,60.0
GT05Bs,Barries B S,29,E2L12,98018,35.0,0.0,0.0,60.0
GT05Cs,Barries C S,28,E1L6,98018,105.0,30.0,30.0,30.0
GT05Ds,Barries D S,29,E2L12,98018,42.0,0.0,0.0,0.0
GT05Es,Barries E S,28,E1L6,98018,105.0,30.0,165.0,60.0
GT05Fs,Barries F S,29,E2L12,98018,30.0,0.0,36.666666666666664,60.0
GT05An,Barries A N,28,E1L6,98018,42.0,30.0,30.0,60.0
GT05Bn,Barries B N,29,E2L12,98018,105.0,0.0,0.0,60.0
GT05Cn,Barries C N,28,E1L6,98018,70.0,30.0,30.0,60.0
GT05Dn,Barries D N,29,E2L12,98018,52.5,0.0,0.0,60.0
GT05En,Barries E N,28,E1L6,98018,42.0,33.333333333333336,30.0,30.0
GT05Fn,Barries F N,29,E2L12,98018,105.0,300.0,0.0,60.0
GT06As,Richmond Hill A S,30,D1L6,98019,52.5,150.0,165.0,0.0
GT06Bs,Richmond Hill B S,31,D2L12,98019,52.5,0.0,0.0,0.0
GT06Cs,Richmond Hill C S,30,D1L6,98019,0.0,100.0,110.0,0.0
GT06An,Richmond Hill A N,30,D1L6,98019,210.0,100.0,82.5,0.0
GT06Bn,Richmond Hill B N,30,D1L6,98019,0.0,150.0,330.0,60.0
GT06Cn,Richmond Hill C N,31,D2L12,98019,0.0,0.0,0.0,60.0
GT07As,Stouffville A S,32,EMU4,98020,15.0,15.0,15.0,15.0
GT07Bs,Stouffville B S,32,EMU4,98020,35.0,42.857142857142854,55.0,40.0
GT07Cs,Stouffville C S,32,EMU4,98020,210.0,100.0,66.0,120.0
GT07Ds,Stouffville D S,28,E1L6,98020,210.0,0.0,165.0,240.0
GT07Es,Stouffville E S,33,E1L12,98020,35.0,0.0,0.0,0.0
GT07An,Stouffville A N,32,EMU4,98020,15.0,15.0,15.0,15.0
GT07Bn,Stouffville B N,32,EMU4,98020,42.0,60.0,66.0,34.285714285714285
GT07Cn,Stouffville C N,32,EMU4,98020,105.0,60.0,55.0,240.0
GT07Dn,Stouffville D N,28,E1L6,98020,0.0,300.0,0.0,80.0
GT07En,Stouffville E N,33,E1L12,98020,0.0,0.0,0.0,30.0
GT09Aw,Lakeshore East A W,28,E1L6,98021,0.0,15.0,15.0,30.0
GT09Bw,Lakeshore East B W,29,E2L12,98021,15.0,0.0,0.0,30.0
GT09Cw,Lakeshore East C W,30,D1L6,98021,52.5,60.0,55.0,120.0
GT09Dw,Lakeshore East D W,31,D2L12,98021,26.25,0.0,0.0,120.0
GT09Ae,Lakeshore East A E,28,E1L6,98021,0.0,15.0,16.5,30.0
GT09Be,Lakeshore East B E,29,E2L12,98021,15.0,0.0,165.0,30.0
GT09Ce,Lakeshore East C E,30,D1L6,98021,210.0,60.0,55.0,24.0
GT09De,Lakeshore East D E,31,D2L12,98021,105.0,0.0,0.0,120.0
