emme_id,time_period,index,from_station,to_station,tt_minutes,dwell
GT01Ae,AM,0,Appleby Station,Bronte Station,3.75,90.0
GT01Ae,AM,1,Bronte Station,Oakville Station,4.25,90.0
GT01Ae,AM,2,Oakville Station,Clarkson Station,5.5,90.0
GT01Ae,AM,3,Clarkson Station,Port Credit Station,4.0,90.0
GT01Ae,AM,4,Port Credit Station,Exhibition Station,10.25,60.0
GT01Ae,AM,5,Exhibition Station,Union Station,4.75,0.0
GT01Be,AM,0,Appleby Station,Bronte Station,3.75,90.0
GT01Be,AM,1,Bronte Station,Oakville Station,4.25,90.0
GT01Be,AM,2,Oakville Station,Clarkson Station,5.5,90.0
GT01Be,AM,3,Clarkson Station,Port Credit Station,4.0,90.0
GT01Be,AM,4,Port Credit Station,Long Branch Station,3.75,60.0
GT01Be,AM,5,Long Branch Station,Mimico Station,4.25,120.0
GT01Be,AM,6,Mimico Station,Park Lawn Station,1.75,60.0
GT01Be,AM,7,Park Lawn Station,Exhibition Station,4.0,60.0
GT01Be,AM,8,Exhibition Station,Union Station,4.75,0.0
GT01Ce,EV,0,Burlington Station,Appleby Station,4.25,60.0
GT01Ce,EV,1,Appleby Station,Bronte Station,3.75,90.0
GT01Ce,EV,2,Bronte Station,Oakville Station,4.25,90.0
GT01Ce,EV,3,Oakville Station,Clarkson Station,5.25,90.0
GT01Ce,EV,4,Clarkson Station,Port Credit Station,4.0,90.0
GT01Ce,EV,5,Port Credit Station,Long Branch Station,3.75,60.0
GT01Ce,EV,6,Long Branch Station,Mimico Station,4.25,120.0
GT01Ce,EV,7,Mimico Station,Park Lawn Station,1.75,60.0
GT01Ce,EV,8,Park Lawn Station,Exhibition Station,4.0,60.0
GT01Ce,EV,9,Exhibition Station,Union Station,4.25,0.0
GT01Ce,MD,0,Burlington Station,Appleby Station,4.25,60.0
GT01Ce,MD,1,Appleby Station,Bronte Station,3.75,90.0
GT01Ce,MD,2,Bronte Station,Oakville Station,4.25,90.0
GT01Ce,MD,3,Oakville Station,Clarkson Station,5.25,90.0
GT01Ce,MD,4,Clarkson Station,Port Credit Station,4.0,90.0
GT01Ce,MD,5,Port Credit Station,Long Branch Station,3.75,60.0
GT01Ce,MD,6,Long Branch Station,Mimico Station,4.25,120.0
GT01Ce,MD,7,Mimico Station,Park Lawn Station,1.75,60.0
GT01Ce,MD,8,Park Lawn Station,Exhibition Station,4.0,60.0
GT01Ce,MD,9,Exhibition Station,Union Station,4.25,0.0
GT01Ce,PM,0,Burlington Station,Appleby Station,4.25,60.0
GT01Ce,PM,1,Appleby Station,Bronte Station,3.75,90.0
GT01Ce,PM,2,Bronte Station,Oakville Station,4.25,90.0
GT01Ce,PM,3,Oakville Station,Clarkson Station,5.25,90.0
GT01Ce,PM,4,Clarkson Station,Port Credit Station,4.0,90.0
GT01Ce,PM,5,Port Credit Station,Long Branch Station,3.75,60.0
GT01Ce,PM,6,Long Branch Station,Mimico Station,4.25,120.0
GT01Ce,PM,7,Mimico Station,Park Lawn Station,1.75,60.0
GT01Ce,PM,8,Park Lawn Station,Exhibition Station,4.0,60.0
GT01Ce,PM,9,Exhibition Station,Union Station,4.25,0.0
GT01De,AM,0,Burlington Station,Appleby Station,4.5,60.0
GT01De,AM,1,Appleby Station,Bronte Station,3.75,90.0
GT01De,AM,2,Bronte Station,Oakville Station,4.25,90.0
GT01De,AM,3,Oakville Station,Clarkson Station,5.5,90.0
GT01De,AM,4,Clarkson Station,Port Credit Station,4.0,90.0
GT01De,AM,5,Port Credit Station,Long Branch Station,3.75,60.0
GT01De,AM,6,Long Branch Station,Mimico Station,4.25,120.0
GT01De,AM,7,Mimico Station,Park Lawn Station,1.75,60.0
GT01De,AM,8,Park Lawn Station,Exhibition Station,4.0,60.0
GT01De,AM,9,Exhibition Station,Union Station,4.75,0.0
GT01De,PM,0,Burlington Station,Appleby Station,4.5,60.0
GT01De,PM,1,Appleby Station,Bronte Station,3.75,90.0
GT01De,PM,2,Bronte Station,Oakville Station,4.25,90.0
GT01De,PM,3,Oakville Station,Clarkson Station,5.5,90.0
GT01De,PM,4,Clarkson Station,Port Credit Station,4.0,90.0
GT01De,PM,5,Port Credit Station,Long Branch Station,3.75,60.0
GT01De,PM,6,Long Branch Station,Mimico Station,4.25,120.0
GT01De,PM,7,Mimico Station,Park Lawn Station,1.75,60.0
GT01De,PM,8,Park Lawn Station,Exhibition Station,4.0,60.0
GT01De,PM,9,Exhibition Station,Union Station,4.25,0.0
GT01Ee,AM,0,Hamilton GO Centre Station,Aldershot Station,12.5,60.0
GT01Ee,AM,1,Aldershot Station,Burlington Station,5.25,60.0
GT01Ee,AM,2,Burlington Station,Appleby Station,5.25,60.0
GT01Ee,AM,3,Appleby Station,Bronte Station,4.75,90.0
GT01Ee,AM,4,Bronte Station,Oakville Station,4.75,90.0
GT01Ee,AM,5,Oakville Station,Clarkson Station,6.25,90.0
GT01Ee,AM,6,Clarkson Station,Port Credit Station,5.5,90.0
GT01Ee,AM,7,Port Credit Station,Exhibition Station,10.75,60.0
GT01Ee,AM,8,Exhibition Station,Union Station,7.0,0.0
GT01Fe,AM,0,Hamilton GO Centre Station,Aldershot Station,13.25,60.0
GT01Fe,AM,1,Aldershot Station,Burlington Station,5.0,80.0
GT01Fe,AM,2,Burlington Station,Appleby Station,5.25,60.0
GT01Fe,AM,3,Appleby Station,Bronte Station,4.75,90.0
GT01Fe,AM,4,Bronte Station,Oakville Station,4.75,90.0
GT01Fe,AM,5,Oakville Station,Clarkson Station,6.25,90.0
GT01Fe,AM,6,Clarkson Station,Port Credit Station,5.5,90.0
GT01Fe,AM,7,Port Credit Station,Exhibition Station,10.75,60.0
