dwell,emme_id,from_station,index,time_period,to_station,tt_minutes
90.0,GT01Ae,Appleby Station,0,AM,Bronte Station,3.75
90.0,GT01Ae,Bronte Station,1,AM,Oakville Station,4.25
90.0,GT01Ae,Oakville Station,2,AM,Clarkson Station,5.5
90.0,GT01Ae,Clarkson Station,3,AM,Port Credit Station,4.0
60.0,GT01Ae,Port Credit Station,4,AM,Exhibition Station,10.25
0.0,GT01Ae,Exhibition Station,5,AM,Union Station,4.75
90.0,GT01Be,Appleby Station,0,AM,Bronte Station,3.75
90.0,GT01Be,Bronte Station,1,AM,Oakville Station,4.25
90.0,GT01Be,Oakville Station,2,AM,Clarkson Station,5.5
90.0,GT01Be,Clarkson Station,3,AM,Port Credit Station,4.0
60.0,GT01Be,Port Credit Station,4,AM,Long Branch Station,3.75
120.0,GT01Be,Long Branch Station,5,AM,Mimico Station,4.25
60.0,GT01Be,Mimico Station,6,AM,Park Lawn Station,1.75
60.0,GT01Be,Park Lawn Station,7,AM,Exhibition Station,4.0
0.0,GT01Be,Exhibition Station,8,AM,Union Station,4.75
60.0,GT01Ce,Burlington Station,0,EV,Appleby Station,4.25
90.0,GT01Ce,Appleby Station,1,EV,Bronte Station,3.75
90.0,GT01Ce,Bronte Station,2,EV,Oakville Station,4.25
90.0,GT01Ce,Oakville Station,3,EV,Clarkson Station,5.25
90.0,GT01Ce,Clarkson Station,4,EV,Port Credit Station,4.0
60.0,GT01Ce,Port Credit Station,5,EV,Long Branch Station,3.75
120.0,GT01Ce,Long Branch Station,6,EV,Mimico Station,4.25
60.0,GT01Ce,Mimico Station,7,EV,Park Lawn Station,1.75
60.0,GT01Ce,Park Lawn Station,8,EV,Exhibition Station,4.0
0.0,GT01Ce,Exhibition Station,9,EV,Union Station,4.25
60.0,GT01Ce,Burlington Station,0,MD,Appleby Station,4.25
90.0,GT01Ce,Appleby Station,1,MD,Bronte Station,3.75
90.0,GT01Ce,Bronte Station,2,MD,Oakville Station,4.25
90.0,GT01Ce,Oakville Station,3,MD,Clarkson Station,5.25
90.0,GT01Ce,Clarkson Station,4,MD,Port Credit Station,4.0
60.0,GT01Ce,Port Credit Station,5,MD,Long Branch Station,3.75
120.0,GT01Ce,Long Branch Station,6,MD,Mimico Station,4.25
60.0,GT01Ce,Mimico Station,7,MD,Park Lawn Station,1.75
60.0,GT01Ce,Park Lawn Station,8,MD,Exhibition Station,4.0
0.0,GT01Ce,Exhibition Station,9,MD,Union Station,4.25
60.0,GT01Ce,Burlington Station,0,PM,Appleby Station,4.25
90.0,GT01Ce,Appleby Station,1,PM,Bronte Station,3.75
90.0,GT01Ce,Bronte Station,2,PM,Oakville Station,4.25
90.0,GT01Ce,Oakville Station,3,PM,Clarkson Station,5.25
90.0,GT01Ce,Clarkson Station,4,PM,Port Credit Station,4.0
60.0,GT01Ce,Port Credit Station,5,PM,Long Branch Station,3.75
120.0,GT01Ce,Long Branch Station,6,PM,Mimico Station,4.25
60.0,GT01Ce,Mimico Station,7,PM,Park Lawn Station,1.75
60.0,GT01Ce,Park Lawn Station,8,PM,Exhibition Station,4.0
0.0,GT01Ce,Exhibition Station,9,PM,Union Station,4.25
60.0,GT01De,Burlington Station,0,AM,Appleby Station,4.5
90.0,GT01De,Appleby Station,1,AM,Bronte Station,3.75
90.0,GT01De,Bronte Station,2,AM,Oakville Station,4.25
90.0,GT01De,Oakville Station,3,AM,Clarkson Station,5.5
90.0,GT01De,Clarkson Station,4,AM,Port Credit Station,4.0
60.0,GT01De,Port Credit Station,5,AM,Long Branch Station,3.75
120.0,GT01De,Long Branch Station,6,AM,Mimico Station,4.25
60.0,GT01De,Mimico Station,7,AM,Park Lawn Station,1.75
60.0,GT01De,Park Lawn Station,8,AM,Exhibition Station,4.0
0.0,GT01De,Exhibition Station,9,AM,Union Station,4.75
60.0,GT01De,Burlington Station,0,PM,Appleby Station,4.5
90.0,GT01De,Appleby Station,1,PM,Bronte Station,3.75
90.0,GT01De,Bronte Station,2,PM,Oakville Station,4.25
