node,line,stop_label,psuedo_zone
98037,Lakeshore West A E,APP,9818
98036,Lakeshore West A E,BRN,9817
98035,Lakeshore West A E,OAK,9816
98034,Lakeshore West A E,CLR,9815
98033,Lakeshore West A E,PRC,9814
98027,Lakeshore West A E,EXH,9811
98012,Lakeshore West A E,LAKW,9801
98037,Lakeshore West B E,APP,9818
98036,Lakeshore West B E,BRN,9817
98035,Lakeshore West B E,OAK,9816
98034,Lakeshore West B E,CLR,9815
98033,Lakeshore West B E,PRC,9814
98032,Lakeshore West B E,LNG,9813
98031,Lakeshore West B E,MIM,9812
98061,Lakeshore West B E,0,9897
98027,Lakeshore West B E,EXH,9811
98012,Lakeshore West B E,LAKW,9801
98012,Lakeshore West B W,LAKW,9801
98027,Lakeshore West B W,EXH,9811
98061,Lakeshore West B W,0,9897
98031,Lakeshore West B W,MIM,9812
98032,Lakeshore West B W,LNG,9813
98033,Lakeshore West B W,PRC,9814
98034,Lakeshore West B W,CLR,9815
98035,Lakeshore West B W,OAK,9816
98036,Lakeshore West B W,BRN,9817
98037,Lakeshore West B W,APP,9818
98038,Lakeshore West B W,BUR,9819
98038,Lakeshore West D E,BUR,9819
98037,Lakeshore West D E,APP,9818
98036,Lakeshore West D E,BRN,9817
98035,Lakeshore West D E,OAK,9816
98034,Lakeshore West D E,CLR,9815
98033,Lakeshore West D E,PRC,9814
98032,Lakeshore West D E,LNG,9813
98031,Lakeshore West D E,MIM,9812
98061,Lakeshore West D E,0,9897
98027,Lakeshore West D E,EXH,9811
98012,Lakeshore West D E,LAKW,9801
98044,Lakeshore West E E,HAM,9821
98039,Lakeshore West E E,ALD,9820
98038,Lakeshore West E E,BUR,9819
98037,Lakeshore West E E,APP,9818
98036,Lakeshore West E E,BRN,9817
98035,Lakeshore West E E,OAK,9816
98034,Lakeshore West E E,CLR,9815
98033,Lakeshore West E E,PRC,9814
98027,Lakeshore West E E,EXH,9811
98012,Lakeshore West E E,LAKW,9801
98044,Lakeshore West F E,HAM,9821
98039,Lakeshore West F E,ALD,9820
98038,Lakeshore West F E,BUR,9819
98037,Lakeshore West F E,APP,9818
98036,Lakeshore West F E,BRN,9817
98035,Lakeshore West F E,OAK,9816
98034,Lakeshore West F E,CLR,9815
98033,Lakeshore West F E,PRC,9814
98027,Lakeshore West F E,EXH,9811
98012,Lakeshore West F E,LAKW,9801
98012,Lakeshore West F W,LAKW,9801
98027,Lakeshore West F W,EXH,9811
98033,Lakeshore West F W,PRC,9814
98034,Lakeshore West F W,CLR,9815
98035,Lakeshore West F W,OAK,9816
98038,Lakeshore West F W,BUR,9819
98039,Lakeshore West F W,ALD,9820
98042,Lakeshore West F W,0,9870
98203,Lakeshore West H E,CNFD,9869
98042,Lakeshore West H E,0,9870
98039,Lakeshore West H E,ALD,9820
98038,Lakeshore West H E,BUR,9819
98035,Lakeshore West H E,OAK,9816
98034,Lakeshore West H E,CLR,9815
98033,Lakeshore West H E,PRC,9814
98027,Lakeshore West H E,EXH,9811
98012,Lakeshore West H E,LAKW,9801
98012,Lakeshore West H W,LAKW,9801
98027,Lakeshore West H W,EXH,9811
98033,Lakeshore West H W,PRC,9814
98034,Lakeshore West H W,CLR,9815
98035,Lakeshore West H W,OAK,9816
98038,Lakeshore West H W,BUR,9819
98039,Lakeshore West H W,ALD,9820
98042,Lakeshore West H W,0,9870
98203,Lakeshore West H W,CNFD,9869
98203,Lakeshore West I E,CNFD,9869
98042,Lakeshore West I E,0,9870
98039,Lakeshore West I E,ALD,9820
98038,Lakeshore West I E,BUR,9819
98035,Lakeshore West I E,OAK,9816
98034,Lakeshore West I E,CLR,9815
98033,Lakeshore West I E,PRC,9814
98027,Lakeshore West I E,EXH,9811
98012,Lakeshore West I E,LAKW,9801
98406,Lakeshore West J E,NIAG,9883
98404,Lakeshore West J E,STCA,9882
98206,Lakeshore West J E,CASA,9879
98203,Lakeshore West J E,CNFD,9869
98042,Lakeshore West J E,0,9870
98039,Lakeshore West J E,ALD,9820
98038,Lakeshore West J E,BUR,9819
98035,Lakeshore West J E,OAK,9816
98034,Lakeshore West J E,CLR,9815
98033,Lakeshore West J E,PRC,9814
98027,Lakeshore West J E,EXH,9811
98012,Lakeshore West J E,LAKW,9801
98012,Lakeshore West J W,LAKW,9801
98027,Lakeshore West J W,EXH,9811
98033,Lakeshore West J W,PRC,9814
98034,Lakeshore West J W,CLR,9815
98035,Lakeshore West J W,OAK,9816
98038,Lakeshore West J W,BUR,9819
98039,Lakeshore West J W,ALD,9820
98042,Lakeshore West J W,0,9870
98203,Lakeshore West J W,CNFD,9869
98206,Lakeshore West J W,CASA,9879
98404,Lakeshore West J W,STCA,9882
98406,Lakeshore West J W,NIAG,9883
98406,Lakeshore West K E,NIAG,9883
98404,Lakeshore West K E,STCA,9882
98206,Lakeshore West K E,CASA,9879
98203,Lakeshore West K E,CNFD,9869
98042,Lakeshore West K E,0,9870
98039,Lakeshore West K E,ALD,9820
98038,Lakeshore West K E,BUR,9819
98035,Lakeshore West K E,OAK,9816
98034,Lakeshore West K E,CLR,9815
98033,Lakeshore West K E,PRC,9814
98027,Lakeshore West K E,EXH,9811
98012,Lakeshore West K E,LAKW,9801
98406,Lakeshore West L E,NIAG,9883
98404,Lakeshore West L E,STCA,9882
98206,Lakeshore West L E,CASA,9879
98203,Lakeshore West L E,CNFD,9869
98081,Milton A E,0,9830
98088,Milton A E,0,9932
98082,Milton A E,0,9829
98083,Milton A E,MDW,9828
98084,Milton A E,STR,9827
98086,Milton A E,ERN,9826
98089,Milton A E,CKS,9825
98090,Milton A E,DIX,9824
98091,Milton A E,KIP,9823
98014,Milton A E,MILT,9801
98081,Milton B E,0,9830
98088,Milton B E,0,9932
98082,Milton B E,0,9829
98083,Milton B E,MDW,9828
98084,Milton B E,STR,9827
98086,Milton B E,ERN,9826
98089,Milton B E,CKS,9825
98090,Milton B E,DIX,9824
98091,Milton B E,KIP,9823
98014,Milton B E,MILT,9801
98126,Kitchener A E,0,9863
98066,Kitchener A E,0,9894
