station,node
Beamsville,90171
Oshawa Ritson,98194
Thornton,98205
Niagara Falls,98406
St. Catharines,98404
St. Clair West,98210
Spadina,98208
King-Liberty,98207
Grimsby,98206
Acton,98204
Confederation,98203
Gormley,98202
Downsview Park,98200
Bowmanville,98199
Courtice,98197
Kitchener,98174
Bloomington,98167
Old Elm,98165
Barrie South,98161
Mount Pleasant,98158
Mount Joy,98157
Centennial,98156
Pearson,98126
Georgetown,98123
Brampton,98122
Bramalea,98121
Malton,98120
Weston,98114
Bloor,98112
Richmond Hill,98111
Langstaff,98109
Old Cummer,98105
Oriole,98102
Kipling,98091
Dixie,98090
Cooksville,98089
Erindale,98086
Streetsville,98084
Meadowvale,98083
Lisgar,98082
Milton,98081
Bradford,98079
East Gwillimbury,98078
Newmarket,98077
East Harbour,98075
Aurora,98074
King City,98070
Maple,98068
Rutherford,98067
Woodbine,98066
Park Lawn,98061
Stouffville,98060
Markham,98059
Unionville,98058
Milliken,98056
Agincourt,98055
Kennedy,98054
Mount Dennis,98051
Hamilton,98044
Innisfil,98043
West Harbour,98042
Aldershot,98039
Burlington,98038
Appleby,98037
Bronte,98036
Oakville,98035
Clarkson,98034
Port Credit,98033
Long Branch,98032
Mimico,98031
Finch East,98029
Bloor-Lansdowne,98028
Exhibition,98027
Caledonia,98024
Oshawa,98017
Whitby,98015
Ajax,98013
Union,98012
Pickering,98011
Rouge Hill,98010
Guildwood,98008
Eglinton,98007
Scarborough,98006
Allandale,98005
Danforth,98004
Guelph,98003
Breslau,98023
Kirby,98045
Trafalgar,98088
