Time,Line,Unknown,Female,Male,Total
AM,BA10,0,67,92,159
AM,BA11,0,48,47,95
AM,BA12,0,29,20,49
AM,BA13,0,34,0,34
AM,BA14,0,48,0,48
AM,BA15,0,47,54,101
AM,BA16,0,0,25,25
AM,BA18,0,0,25,25
AM,BA20,0,0,34,34
AM,BA22,0,43,0,43
AM,BA24,0,57,20,77
AM,BA28,0,0,47,47
AM,BA30,0,169,57,226
AM,BA31,0,34,103,137
AM,BA32,0,23,0,23
AM,BA33,0,23,0,23
AM,BA34,0,54,124,178
AM,BA39,0,23,34,57
AM,BA41,0,57,34,91
AM,BA97,0,0,68,68
AM,BA98,0,34,34,68
AM,BR01,0,374,382,756
AM,BR02,0,447,167,614
AM,BR03,0,185,177,362
AM,BR04,0,676,452,1128
AM,BR05,0,766,476,1242
AM,BR07,0,419,390,809
AM,BR08,0,245,172,417
AM,BR09,0,197,146,343
AM,BR10,0,67,0,67
AM,BR101,0,21,0,21
AM,BR11,0,302,383,685
AM,BR12,0,122,21,143
AM,BR13,0,0,22,22
AM,BR14,0,331,286,617
AM,BR15,0,499,335,834
AM,BR16,0,49,21,70
AM,BR17,0,122,94,216
AM,BR18,0,416,304,720
AM,BR19,0,85,84,169
AM,BR21,0,23,25,48
AM,BR22,0,22,0,22
AM,BR23,0,387,273,660
AM,BR24,0,205,78,283
AM,BR25,0,52,0,52
AM,BR29,0,220,206,426
AM,BR30,0,350,140,490
AM,BR32,0,0,25,25
AM,BR33,0,25,0,25
AM,BR40,0,69,49,118
AM,BR50,0,165,166,331
AM,BR501,0,445,550,995
AM,BR502,0,299,175,474
AM,BR51,0,92,0,92
AM,BR52,0,236,149,385
AM,BR53,0,144,126,270
AM,BR54,0,52,23,75
AM,BR92,0,70,105,175
AM,BR97,0,218,146,364
AM,BR99,0,0,19,19
AM,BT01,0,59,21,80
AM,BT02,0,26,24,50
AM,BT04,0,203,151,354
AM,BT05,0,61,0,61
AM,BT06,0,26,0,26
AM,BT07,0,23,47,70
AM,BT08,0,0,66,66
AM,BT09,0,57,71,128
AM,BT97,0,21,42,63
AM,BT98,0,23,0,23
AM,BU01,0,83,92,175
AM,BU02,0,123,191,314
AM,BU03,0,100,23,123
AM,BU04,0,75,22,97
AM,BU05,0,87,38,125
AM,BU06,0,144,0,144
AM,BU10,0,232,204,436
AM,BU101,0,29,0,29
AM,BU11,0,22,34,56
AM,BU12,0,76,25,101
AM,BU15,0,75,83,158
AM,BU61,0,26,26,52
AM,BU62,0,0,50,50
AM,BU96,0,0,25,25
AM,CO03,0,0,11,11
AM,CO99,0,43,0,43
AM,D101,0,25,29,54
AM,D102,0,0,54,54
AM,D103,0,127,72,199
AM,D105,0,95,18,113
AM,D106,0,36,0,36
AM,D107,0,54,73,127
AM,D108,0,18,0,18
AM,D109,0,0,25,25
AM,D110,0,67,73,140
AM,D111,0,21,58,79
AM,D112,0,151,83,234
AM,D114,0,24,0,24
AM,D115,0,43,0,43
AM,D117,0,25,25,50
AM,D121,0,18,0,18
AM,D141,0,29,72,101
AM,D197,0,146,127,273
AM,D198,0,0,29,29
AM,D218,0,97,48,145
AM,D219,0,204,160,364
AM,D221,0,38,43,81
AM,D222,0,101,55,156
AM,D224,0,208,24,232
AM,D225,0,221,118,339
AM,D226,0,107,85,192
AM,D232,0,27,63,90
AM,D296,0,22,0,22
AM,D297,0,70,89,159
AM,D301,0,23,111,134
AM,D302,0,200,68,268
AM,D303,0,23,74,97
AM,D304,0,46,82,128
AM,D305,0,228,250,478
AM,D306,0,31,63,94
AM,D308,0,0,24,24
AM,D318,0,0,19,19
AM,D397,0,44,68,112
AM,D401,0,327,238,565
AM,D402,0,130,87,217
AM,D403,0,52,34,86
AM,D405,0,83,0,83
AM,D406,0,0,164,164
AM,D407,0,105,92,197
AM,D408,0,17,42,59
AM,D409,0,91,69,160
AM,D410,0,158,198,356
AM,D411,0,61,86,147
AM,D412,0,124,61,185
AM,D413,0,0,22,22
AM,D419,0,0,45,45
AM,D420,0,174,226,400
AM,D421,0,0,57,57
AM,D496,0,109,59,168
AM,D497,0,0,57,57
AM,D501,0,27,71,98
AM,D606,0,16,0,16
AM,D915,0,322,497,819
AM,D916,0,277,422,699
AM,D922,0,51,128,179
AM,D923,0,27,0,27
AM,D950,0,0,23,23
AM,FE99,0,0,26,26
AM,GB12,0,42,25,67
AM,GB15,0,140,147,287
AM,GB16,0,365,190,555
AM,GB19,0,328,204,532
AM,GB20,0,53,33,86
AM,GB21,0,442,479,921
AM,GB25,0,124,72,196
AM,GB27,0,115,258,373
AM,GB29,0,77,15,92
AM,GB31,0,126,52,178
AM,GB32,0,130,111,241
AM,GB33,0,22,22,44
AM,GB34,0,634,263,897
AM,GB37,0,67,39,106
AM,GB38,0,130,55,185
AM,GB40,0,17,17,34
AM,GB46,0,1153,1007,2160
AM,GB52,0,947,384,1331
AM,GB61,0,187,91,278
AM,GB65,0,193,27,220
AM,GB66,0,173,137,310
AM,GB69,0,38,0,38
AM,GB71,0,207,150,357
AM,GB81,0,101,94,195
AM,GB88,0,19,0,19
AM,GB90,0,95,240,335
AM,GB93,0,173,0,173
AM,GB94,0,759,601,1360
AM,GB95,0,265,125,390
AM,GB96,0,200,177,377
AM,GT01,0,10903,12355,23258
AM,GT02,0,7220,7595,14815
AM,GT03,0,5057,3684,8741
AM,GT05,0,4788,4551,9339
AM,GT06,28,2833,3285,6146
AM,GT07,0,4461,3886,8347
AM,GT09,0,10845,8570,19415
AM,GU01,0,29,29,58
AM,GU03,0,69,66,135
AM,GU06,0,20,71,91
AM,GU08,0,29,0,29
AM,GU10,0,91,49,140
AM,GU22,0,21,0,21
AM,GU23,0,19,48,67
AM,GU24,0,54,75,129
AM,GU31,0,0,94,94
AM,GU32,0,48,28,76
AM,GU33,0,87,61,148
AM,GU34,0,0,22,22
AM,GU35,0,23,0,23
AM,GU37,0,51,0,51
AM,GU39,0,13,19,32
AM,GU40,0,91,19,110
AM,GU41,0,19,68,87
AM,GU43,0,18,48,66
AM,GU44,0,22,18,40
AM,GU50,0,28,0,28
AM,GU51,0,19,0,19
AM,GU70,0,30,30,60
AM,GU71,0,0,40,40
AM,GU76,0,30,0,30
AM,GU97,0,0,32,32
AM,GU99,0,95,106,201
AM,HA01,0,1327,864,2191
AM,HA02,0,698,700,1398
AM,HA03,0,558,135,693
AM,HA04,0,462,262,724
AM,HA05,0,1105,809,1914
AM,HA06,0,106,128,234
AM,HA07,0,21,22,43
AM,HA08,0,78,16,94
AM,HA10,0,562,455,1017
AM,HA11,0,184,251,435
AM,HA12,0,28,22,50
AM,HA18,0,0,35,35
AM,HA20,0,24,85,109
AM,HA21,0,378,213,591
AM,HA22,0,338,190,528
AM,HA23,0,269,230,499
AM,HA24,0,367,176,543
AM,HA25,0,185,174,359
AM,HA26,0,552,442,994
AM,HA27,0,189,123,312
AM,HA33,0,257,183,440
AM,HA34,0,198,102,300
AM,HA35,0,357,250,607
AM,HA41,0,627,439,1066
AM,HA43,0,122,150,272
AM,HA44,0,139,183,322
AM,HA51,0,134,195,329
AM,HA52,0,374,45,419
AM,HA55,0,127,120,247
AM,HA56,0,21,0,21
AM,HA58,0,70,0,70
AM,HA90,0,81,68,149
AM,HA91,0,22,25,47
AM,HA93,0,17,0,17
AM,HA98,0,71,96,167
