Time,Line,Unknown,Female,Male,Total,old_line
AM,BA10,0,67,92,159,BA10
MD,BA10,0,144,58,202,BA10
MD,BA10,0,133,61,194,BA10
AM,BA11,0,48,47,95,BA11
AM,BA11,0,34,78,112,BA11
MD,BA11,0,257,103,360,BA11
MD,BA11,0,255,216,471,BA11
AM,BA12,0,29,20,49,BA12
MD,BA12,0,24,0,24,BA12
AM,BA13,0,34,0,34,BA13
MD,BA13,0,37,57,94,BA13
AM,BA14,0,48,0,48,BA14
MD,BA14,0,45,20,65,BA14
MD,BA14,0,84,54,138,BA14
AM,BA15,0,47,54,101,BA15
MD,BA15,0,54,0,54,BA15
MD,BA15,0,0,40,40,BA15
AM,BA16,0,0,25,25,BA16
AM,BA16,0,34,67,101,BA16
MD,BA16,0,20,25,45,BA16
MD,BA16,0,108,34,142,BA16
AM,BA18,0,0,25,25,BA18
AM,BA18,0,47,47,94,BA18
MD,BA18,0,0,12,12,BA18
MD,BA18,0,97,25,122,BA18
AM,BA20,0,0,34,34,BA20
AM,BA20,0,34,34,68,BA20
MD,BA20,0,54,24,78,BA20
MD,BA20,0,306,103,409,BA20
AM,BA22,0,43,0,43,BA22
MD,BA22,0,37,0,37,BA22
AM,BA24,0,57,20,77,BA24
AM,BA24,0,25,0,25,BA24
MD,BA24,0,43,0,43,BA24
MD,BA24,0,14,0,14,BA24
AM,BA28,0,0,47,47,BA28
MD,BA28,0,20,34,54,BA28
MD,BA28,0,0,28,28,BA28
AM,BA30,0,169,57,226,BA30
AM,BA30,0,25,0,25,BA30
MD,BA30,0,43,78,121,BA30
MD,BA30,0,260,89,349,BA30
AM,BA31,0,34,103,137,BA31
AM,BA31,0,0,57,57,BA31
MD,BA31,0,54,24,78,BA31
MD,BA31,0,74,140,214,BA31
AM,BA32,0,23,0,23,BA32
MD,BA32,0,24,0,24,BA32
AM,BA33,0,23,0,23,BA33
AM,BA33,0,47,0,47,BA33
MD,BA33,0,90,54,144,BA33
AM,BA34,0,54,124,178,BA34
AM,BA34,0,34,0,34,BA34
MD,BA34,0,92,34,126,BA34
MD,BA34,0,98,20,118,BA34
AM,BA39,0,23,34,57,BA39
MD,BA39,0,34,45,79,BA39
MD,BA39,0,165,12,177,BA39
